Use,Filename,Target,Name,Waveband,Polaroid Angle,Binning
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.145.fits,NGC7023,NGC7023_V1,V,0,2
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.146.fits,NGC7023,NGC7023_V1,V,400,2
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.147.fits,NGC7023,NGC7023_V1,V,200,2
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.148.fits,NGC7023,NGC7023_V1,V,600,2
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.149.fits,NGC7023,NGC7023_V1,V,0,2
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.150.fits,NGC7023,NGC7023_V1,V,400,2
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.151.fits,NGC7023,NGC7023_V1,V,200,2
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.152.fits,NGC7023,NGC7023_V1,V,600,2
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.153.fits,NGC7023,NGC7023_V1,V,0,2
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.154.fits,NGC7023,NGC7023_V1,V,400,2
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.155.fits,NGC7023,NGC7023_V1,V,200,2
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.156.fits,NGC7023,NGC7023_V1,V,600,2
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.157.fits,NGC7023,NGC7023_V1,V,0,2
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.158.fits,NGC7023,NGC7023_V1,V,400,2
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.159.fits,NGC7023,NGC7023_V1,V,200,2
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.160.fits,NGC7023,NGC7023_V1,V,600,2
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.161.fits,NGC7023,NGC7023_V1,V,0,2
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.162.fits,NGC7023,NGC7023_V1,V,400,2
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.163.fits,NGC7023,NGC7023_V1,V,200,2
1,/home/jordan/ThesisData/PRISM_Data/Reduced_data/20150117.164.fits,NGC7023,NGC7023_V1,V,600,2
